Carrera,Grupo,Clave,Materia,CRN,Profesor,Dia,Hora inicio,Hora Fin,Aula,Modalidad
Abogado,5A,IC888,DERECHO DE LA SEGURIDAD SOCIAL,164817,CORTES JOSE GILBERTO,JUEVES,20,21,EL19,HIBRIDA
Abogado,5A,IC883,DERECHO CIVIL IV,164814,MARQUEZ ROSALES ANTONIO,VIERNES,8,10,B2,HIBRIDA
Abogado,5A,IC893,DERECHO FISCAL,164818,LOZA URIBE YARIELA ESTHER DE MONSERRAT,VIERNES,10,12,B2,HIBRIDA
Abogado,5A,IC904,DERECHO PROCESAL PENAL,164829,GONZALEZ BORBOA RAUL,VIERNES,12,14,B13,HIBRIDA
Abogado,5A,IC904,DERECHO PROCESAL PENAL,164829,GONZALEZ BORBOA RAUL,VIERNES,18,20,EL89,HIBRIDA
Abogado,5A,IC893,DERECHO FISCAL,164818,LOZA URIBE YARIELA ESTHER DE MONSERRAT,SABADO,16,18,EL60,HIBRIDA
Abogado,6A,IC902,DERECHO PROCESAL CIVIL,171551,LIZAOLA ZEPEDA GRACIELA GUADALUPE,LUNES,19,21,EL86,HIBRIDA
Abogado,6A,IC890,JUSTICIA CONSTITUCIONAL,171604,VENEGAS CAMARENA ALEJANDRA,MARTES,18,20,EL95,HIBRIDA
Abogado,6A,IC903,DERECHO PROCESAL MERCANTIL,171555,PARRA MAGAÑA FATIMA,MIERCOLES,8,10,B2,HIBRIDA
Abogado,6A,IC890,JUSTICIA CONSTITUCIONAL,171604,VENEGAS CAMARENA ALEJANDRA,MIERCOLES,10,12,B4,HIBRIDA
Abogado,6A,IC892,PROCEDIMIENTO CONTENCIOSO ADMINISTRATIVO,171637,MURILLO LAMAS OSCAR EFRAIN,MIERCOLES,12,14,C16,HIBRIDA
Abogado,6A,REC01,RECREACION Y APROVECHAMIENTO,,,MIERCOLES,14,16,AULA-RECREACION-7,
Abogado,6A,IC902,DERECHO PROCESAL CIVIL,171551,LIZAOLA ZEPEDA GRACIELA GUADALUPE,MIERCOLES,16,18,A3,HIBRIDA
Abogado,6A,IC905,DERECHO PROCESAL LABORAL,171553,AGUILAR NAVARRO RAUL,MIERCOLES,18,19,EL43,HIBRIDA
Abogado,6A,IC924,OPTATIVA I,171634,HERNANDEZ GONZALEZ ADRIANA,JUEVES,10,12,B7,HIBRIDA
Abogado,6A,IC905,DERECHO PROCESAL LABORAL,171553,AGUILAR NAVARRO RAUL,JUEVES,12,14,A1,HIBRIDA
Abogado,6A,IC924,OPTATIVA I,171634,HERNANDEZ GONZALEZ ADRIANA,JUEVES,18,20,EL87,HIBRIDA
Abogado,6A,IC911,ESTUDIO DE CASO DISCIPLINAR EN DERECHO PENAL,171593,GUTIERREZ HERNANDEZ HUMBERTO,VIERNES,8,10,A10,TOTAL PRESENCIAL
Abogado,6A,REC01,RECREACION Y APROVECHAMIENTO,,,VIERNES,10,12,AULA-RECREACION-20,
Abogado,6A,IC917,TOPICOS SELECTOS I,171696,NAVEJAS PADILLA RAMON GERARDO,VIERNES,12,14,C11,HIBRIDA
Abogado,6A,IC917,TOPICOS SELECTOS I,171696,NAVEJAS PADILLA RAMON GERARDO,VIERNES,18,19,EL50,HIBRIDA
